id,es,en,it,fr,de,pt
door,Puerta NPC,NPC Door,Porta NPC,Porte NPC,NPC-Tür,Porta NPC
flam_gas,Gas Flam.,Flam. Gas,Gas Infiam.,Gaz Inflam.,Brennb. Gas,Gás Flam.
coal_item,Carbón,Coal,Carbone,Charbon,Kohle,Carvão
bacteria,Bacteria,Bacteria,Batteri,Bactérie,Bakterien,Bactéria
cure,Cura,Cure,Cura,Cure,Heilung,Cura
and_more,Y más...,And more...,E altro...,Et plus...,Und más...,E muito más...
speed,Velocidad,Game Speed,Velocità,Vitesse,Geschwindigkeit,Velocidade
eraser,Borrador,Eraser,Gomma,Gomma,Radierer,Borracha
shapes,Formas,Shapes,Forme,Formes,Formen,Formas
line,Línea Recta,Straight Line,Linea Retta,Ligne Droite,Gerade Linie,Linha Reta
rect,Cuadrados,Squares,Quadrati,Carrés,Quadrate,Quadrados
circ,Círculos,Circles,Cerchi,Cercles,Kreise,Círculos
tria,Triángulos,Triangles,Triangoli,Triangles,Dreiecke,Triângulos
acid_rain,🧪 Lluvia Ácida,🧪 Acid Rain,🧪 Pioggia Acida,🧪 Pluie Acide,🧪 Saurer Regen,🧪 Chuva Ácida
lava_rain,Lluvia de Lava,Lava Rain,Pioggia di Lava,Pluie de Lave,Lavaregen,Chuva de Lava
met_storm,Meteoritos,Meteorites,Meteoriti,Météorites,Meteoriten,Meteoritos
black_hole,Agujero Negro,Black Hole,Buco Nero,Trou Noir,Schwarzes Loch,Buraco Negro
sinkhole,Hundimiento,Sinkhole,Sprofondamento,Affaissement,Erdfall,Dolina
sand_storm,Tormenta de Arena,Sandstorm,Tempesta di Sabbia,Tempête de Sable,Sandsturm,Tempestade de Areia
zombie,Zombie,Zombie,Zombie,Zombie,Zombie,Zumbi
summoner,Invocador,Summoner,Evocatore,Invocateur,Beschwörer,Invocador
bomber,✈️ Bombardero,✈️ Bomber,✈️ Bombarolo,✈️ Bombardier,✈️ Bomber,✈️ Bombardeiro
mage,🧙 Mago,🧙 Wizard,🧙 Mago,🧙 Magicien,🧙 Magier,🧙 Mago
kamikaze,Kamikaze,Kamikaze,Kamikaze,Kamikaze,Kamikaze,Kamikaze
builder,Constructor,Builder,Costruttore,Constructeur,Baumeister,Construtor
welcome_title,"Bienvenido a Sandbox Ultra","Welcome to Sandbox Ultra!","Benvenuto su Sandbox Ultra!","Bienvenue sur Sandbox Ultra !","Willkommen bei Sandbox Ultra!","Bem-vindo ao Sandbox Ultra!"
welcome_msg,"Este es tu lienzo. Aquí puedes dar rienda suelta a tu curiosidad: crea, destruye, pelea o hazlo explotar todo. No hay límites ni errores, así que siéntete libre de experimentar. \n\nCada menú es una puerta a un mundo de posibilidades... ¡no dejes ninguno sin explorar!","This is your canvas. Here, you can let your curiosity run wild: create, destroy, fight, or blow everything up. There are no limits or mistakes, so feel free to experiment. Every menu is a gateway to a world of possibilities... don't leave any unexplored!","Questa è la tua tela. Qui puoi dare libero sfogo alla tua curiosità: crea, distruggi, combatti o fai esplodere tutto. No hay límites ni errores, quindi sentiti libero di sperimentare. Ogni menu è una porta verso un mondo de possibilità... non lasciarne nessuno inesplorato!","C'est votre toile. Ici, laissez libre cours à votre curiosité : créez, détruisez, combattez ou faites tout exploser. Il n'y a ni limites ni erreurs, alors n'hésitez pas à expérimenter. Chaque menu est une porte vers un monde de possibilités... n'en laissez aucun de côté !","Dies ist deine Leinwand. Hier kannst du deiner Neugier freien Lauf lassen: Erschaffe, zerstöre, kämpfe oder sprenge alles in die Luft. Es gibt keine Grenzen oder Fehler, also experimentiere nach Herzenslust. Jedes Menü ist ein Tor zu einer Welt voller Möglichkeiten... erkunde sie alle!","Esta é a sua tela. Aqui você pode dar asas à sua curiosidade: crie, destrua, lute ou exploda tudo. Não há limites nem erros, então sinta-se à voluntad para experimentar. Cada menu é uma porta para um mundo de possibilidades... não deixe nenhum sem explorar!"
welcome_close,Empezar,Start,Inizia,Commencer,Starten,Começar
lightning,Rayo,Lightning,Fulmine,Éclair,Blitz,Raio
custom_mat,Personalizable,Custom,Personalizzato,Personnalisé,Benutzerdefiniert,Personalizado
action,ACCIÓN,ACTION,AZIONE,ACTION,AKTION,AÇÃO
control_npc,🎮 Controlar NPC,🎮 Control NPC,🎮 Controlla NPC,🎮 Contrôler NPC,🎮 NPC steuern,🎮 Controlar NPC
selecting_npc,🔍 Seleccionando NPC...,🔍 Selecting NPC...,🔍 Selezionando NPC...,🔍 Sélection NPC...,🔍 Auswahl NPC...,🔍 Selecionando NPC...
npc_controller_title,🎮 Controlador de NPC,🎮 NPC Controller,🎮 Controller NPC,🎮 Contrôleur NPC,🎮 NPC-Controller,🎮 Controlador de NPC
active,Activo,Active,Attivo,Actif,Aktiv,Ativo
inactive,Desactivado,Disabled,Disattivato,Désactivé,Deaktiviert,Desactivado
menu,MENÚ,MENU,MENU,MENU,MENÜ,MENU
music,Mecanismos,Mechanisms,Meccanismi,Mécanismes,Mechanismen,Mecanismos
piano1,Piano Clásico,Grand Piano,Pianoforte,Piano,Klavier,Piano
piano2,Piano Suave,Soft Piano,Piano Dolce,Piano Doux,Softes Klavier,Piano Suave
piano3,Sintetizador,Synth,Sintetizzatore,Synthé,Synthesizer,Sintetizador
drums,Batería,Drums,Batteria,Batterie,Schlagzeug,Bateria
drum_kick,Bombo,Kick,Cassa,Grosse Caisse,Bassdrum,Bumbo
drum_snare,Redoblante,Snare,Rullante,Caisse Claire,Snare,Caixa
drum_hihat,Hi-Hat,Hi-Hat,Hi-Hat,Hi-Hat,Hi-Hat,Hi-Hat
drum_tom,Tom-Tom,Tom-Tom,Tom-Tom,Tom-Tom,Tom-Tom,Tom-Tom
metronome,Metrónomo,Metronome,Metronomo,Métronome,Metronom,Metrônomo
bpm,BPM (Tempo),BPM (Tempo),BPM (Tempo),BPM (Tempo),BPM (Tempo),BPM (Tempo)
metronome_info,Este bloque libera electricidad automáticamente a este ritmo,This block releases electricity automatically at this rhythm,Questo blocco rilascia elettricità automaticamente a questo ritmo,Ce bloc libère l'électricité automatiquement à ce rythme,Dieser Block gibt automatisch Strom in diesem Rhythmus ab,Este bloco libera eletricidade automaticamente a este ritmo
piano4,Piano espacial,Space Piano,Piano spaziale,Piano d'espace,Weltraumpiano,Piano espacial
undo,↩️ Deshacer,↩️ Undo,↩️ Annulla,↩️ Annuler,↩️ Rückgängig,↩️ Desfazer
redo,↪️ Rehacer,↪️ Redo,↪️ Ripristina,↪️ Rétablir,↪️ Wiederherstellen,↪️ Refazer
eraser_tool,❌ Borrador,❌ Eraser,❌ Gomma,❌ Gomme,❌ Radiergummi,❌ Borrador
save_btn_ui,💾 Guardar,💾 Save,💾 Salva,💾 Sauvegarder,💾 Speichern,💾 Salvar
slot,Espacio,Slot,Slot,Emplacement,Steckplatz,Espaço
override_confirm,"¿Estás seguro de que quieres sobre escribir {0}, {1}?","Are you sure you want to overwrite {0}, {1}?","Sei sicuro di voler sovrascrivere {0}, {1}?","Êtes-vous sûr de vouloir écraser {0}, {1} ?","Möchten Sie {0}, {1} wirklich überschreiben?","Tem certeza que deseja sobrescrever {0}, {1}?"
yes,Sí,Yes,Sì,Oui,Ja,Sim
no,No,No,No,Non,Nein,Não
empty,Vacío,Empty,Vuoto,Vide,Leer,Vazio
load,Cargar,Load,Carica,Charger,Laden,Carregar
enter_save_name,Escribe un nombre...,Enter a name...,Scrivi un nome...,Entrer un nom...,Nombre eingeben...,Digite um nome...
save_to_slot,Guardar en Slot {0},Save to Slot {0},Salva nel Slot {0},Sauvegarder dans Slot {0},In Slot {0} speichern,Salvar no Slot {0}
func,⚡ Funcionalidad,⚡ Functionality,⚡ Funzionalità,⚡ Fonctionnalité,⚡ Funktionalität,⚡ Funcionalidade
drum_tom_low,Tom Bajo,Low Tom,Tom Basso,Tom Bas,Tiefe Tom,Tom Baixo
drum_tom_high,Tom Agudo,High Tom,Tom Alto,Tom Haut,Hohe Tom,Tom Agudo
drum_ride,Platillo Ride,Ride Cymbal,Piatto Ride,Cymbale Ride,Ride-Becken,Prato Ride
drum_crash,Platillo Crash,Crash Cymbal,Piatto Crash,Cymbale Crash,Crash-Becken,Prato Crash
drum_sticks,Palitos,Sticks,Bacchette,Baguettes,Sticks,Baquetas
lab,Laboratorio,Laboratory,Laboratorio,Laboratoire,Labor,Laboratório
lab_overlay_title,🧪 Laboratorio de Creación,🧪 Creation Laboratory,🧪 Laboratorio di Creazione,🧪 Laboratoire de Création,🧪 Schöpfungslabor,🧪 Laboratório de Criação
lab_overlay_desc,"Desbloquea la creación de elementos.\nAjusta el color, nombre, gravedad y reacciones.\n\nMira un anuncio para activarlo por 12 horas.","Unlock element creation.\nAdjust color, name, gravity, and reactions.\n\nWatch an ad to activate for 12 hours.","Sblocca la creazione di elementos.\nRegola colore, nome, gravità e reazioni.\n\nGuarda un annuncio per activarlo per 12 ore.","Débloquez la création d'éléments.\nAjustez la couleur, le nom, la gravité et les réactions.\n\nRegardez une publicité pour l'activer pendant 12 heures.","Elementerstellung freischalten.\nPassen Sie Farbe, Name, Schwerkraft und reaktionen an.\n\nWerbung ansehen, um sie 12 Stunden lang zu aktivieren.","Desbloqueie a criação de elementos.\nAjuste a cor, o nome, a gravidade e as reações.\n\nVeja um anúncio para ativá-lo por 12 horas."
not_now,No por ahora,Not now,Non ora,Pas maintenant,Nicht jetzt,Não agora
watch_ad,Ver anuncio 📺,Watch ad 📺,Guarda annuncio 📺,Voir la pub 📺,Werbung ansehen 📺,Ver anúncio 📺
interaction_tags,🛠️ Etiquetas de Interacción,🛠️ Interaction Tags,🛠️ Tag di Interazione,🛠️ Étiquettes d'Interaction,🛠️ Interaktions-Tags,🛠️ Etiquetas de Interação
combustion,Combustión,Combustion,Combustione,Combustion,Verbrennung,Combustão
electricity,Electricidad,Electricity,Elettricità,Électricité,Elektrizität,Eletricidade
corrosion,Corrosión,Corrosion,Corrosione,Corrosion,Korrosion,Corrosão
plants,Plantas,Plants,Piante,Plantes,Pflanzen,Plantas
exp_special,💥 Explosiones Especiales,💥 Special Explosions,💥 Esplosioni Speciali,💥 Explosions Spéciales,💥 Spezial-Explosionen,💥 Explosões Especiais
EXP_ELECTRIC,Eléctrica,Electric,Elettrica,Électrique,Elektrisch,Elétrica
EXP_ACID,Ácida,Acidic,Acida,Acide,Säure,Ácida
EXP_WATER,Agua,Water,Acqua,Eau,Wasser,Água
EXP_LAVA,Lava,Lava,Lava,Lave,Lava,Lava
EXP_NPC,NPCs,NPCs,NPC,NPC,NPCs,NPCs
EXP_LIFE,Vida,Life,Vita,Vie,Leben,Vida
EXP_GAS,Humo,Smoke,Fumo,Fumée,Rauch,Fumaça
EXP_QUAKE,Sísmica,Seismic,Sismica,Sismique,Seismisch,Sísmica
EXP_PINATA,Piñata,Piñata,Pignatta,Piñata,Piñata,Piñata
exp_npc_team,👥 Equipo de NPCs,👥 NPC Team,👥 Squadra NPC,👥 Équipe NPC,👥 NPC Team,👥 Equipe NPC
EXP_TEAM_RED,Rojo,Red,Rosso,Rouge,Rot,Vermelho
EXP_TEAM_BLUE,Azul,Blue,Blu,Bleu,Blau,Azul
EXP_TEAM_GREEN,Verde,Green,Verde,Vert,Grün,Verde
EXP_TEAM_YELLOW,Amarillo,Yellow,Giallo,Jaune,Gelb,Amarelo
EXP_TEAM_MIXED,Mixto,Mixed,Misto,Mixte,Gemischt,Misto
combustion,🔥 Combustión,🔥 Combustion,🔥 Combustione,🔥 Combustion,🔥 Verbrennung,🔥 Combustão
BURN_SMOKE,Humo,Smoke,Fumo,Fumée,Rauch,Fumaça
BURN_COAL,Carbón,Coal,Carbone,Charbon,Kohle,Carvão
interaction_tags,✨ Interacción,✨ Interaction,✨ Interazione,✨ Interaction,✨ Interaktion,✨ Interação
FLAMMABLE,Inflamable,Flammable,Infiammabile,Inflammable,Entflambbar,Inflamável
INCENDIARY,Incendiario,Incendiary,Incendiario,Incendiaire,Brandstifter,Incendiário
EXPLOSIVE,Explosivo,Explosive,Esplosivo,Explosif,Explosiv,Explosivo
ANTI_EXPLOSIVE,Blindado,Armored,Armato,Blindé,Gepanzert,Blindado
VIRUS,Viral,Viral,Virale,Viral,Viral,Viral
INVINCIBLE,Invencible,Invincible,Invincibile,Invincible,Unbesiegbar,Invencível
VORTEX,Vórtice,Vortex,Vortice,Vortex,Vortice,Vórtice
electricity,⚡ Electricidad,⚡ Electricity,⚡ Elettricità,⚡ Électricité,⚡ Elektrizität,⚡ Eletricidade
ELECTRICITY,Fuente,Source,Sorgente,Source,Quelle,Fonte
CONDUCTOR,Conductor,Conductor,Conduttore,Conducteur,Leiter,Condutor
ELECTRIC_ACTIVATED,Activado,Activated,Attivato,Activé,Aktiviert,Ativado
RADIOACTIVE,Radiactivo,Radioactive,Radioattivo,Radioactif,Radioaktiv,Radioativo
corrosion,🧪 Corrosión,🧪 Corrosion,🧪 Corrosione,🧪 Corrosion,🧪 Korrosion,🧪 Corrosão
ACID,Ácido,Acid,Acido,Acide,Säure,Ácido
ANTI_ACID,Anticorrosivo,Anti-Acid,Anticorrosivo,Anti-Acide,Rostschutz,Anticorrosivo
LAB_NAME,Nombre,Name,Nome,Nom,Name,Nome
LAB_COLOR,Color,Color,Colore,Couleur,Farbe,Cor
LAB_GRAVITY,Gravedad,Gravity,Gravità,Gravité,Gravitation,Gravidade
LAB_STATE,Estado,State,Stato,État,Zustand,Estado
LAB_TEXTURE,Textura,Texture,Texture,Texture,Textur,Textura
LAB_CHARACTERISTICS,Características,Characteristics,Caratteristiche,Caractéristiques,Eigenschaften,Características
GRAV_SLOW,Lenta,Slow,Lenta,Lente,Langsam,Lenta
GRAV_NORMAL,Normal,Normal,Normale,Normal,Normal,Normal
GRAV_UP,Sube,Rise,Sale,Monte,Steigen,Sobe
GRAV_STATIC,Estático,Static,Statico,Statique,Statisch,Estático
STATE_GAS,Gas,Gas,Gas,Gaz,Gas,Gás
STATE_LIQUID,Líquido,Liquid,Liquido,Liquide,Flüssigkeit,Líquido
STATE_POWDER,Polvo,Powder,Polvere,Poudre,Pulver,Pó
STATE_SOLID,Sólido,Solid,Solido,Solide,Festkörper,Sólido
paint,Pintura,Paint,Pittura,Peinture,Malen,Pintura
paint_elements,Pintar elementos,Paint elements,Dipingi elementos,Peindre éléments,Elemente bemalen,Pintar elementos
paint_background,Pintar fondo,Paint background,Dipingi sfondo,Peindre le fondo,Hintergrund bemalen,Pintar fundo
ad_not_ready,Anuncio no disponible aún. Intenta en unos segundos.,Ad not available yet. Try in a few seconds.,Annuncio non ancora disponible. Riprova tra qualche segundo.,Publicité non disponible pour le moment. Réessayez dans quelques secondes.,Anzeige noch nicht verfügbar. Versuchen Sie es in ein paar Sekunden erneut.,Anúncio ainda não disponible. Tente em alguns segundos.
lab_ad_not_ready,Anuncio del Laboratorio no listo. Reintenta pronto.,Laboratory ad not ready. Retry soon.,Annuncio del Laboratorio non pronto. Riprova presto.,Publicité du laboratoire pas prête. Réessayez bientôt.,Laboranzeige nicht bereit. Versuchen Sie es bald erneut.,Anúncio do Laboratório não está pronto. Tente novamente em breve.
NOTIF_LAVA_ICE,"¿Me pregunto qué pasará si mezclo hielo con lava?","I wonder what happens if I mix ice with lava?","Mi chiedo cosa succeda se mescolo ghiaccio e lava?","Je me demande ce qui se passerait si je mélangeais de la glace avec de la lave ?","Ich frage mich was passiert wenn ich Eis mit Lava mische?","Eu me pergunto o que acontece se eu misturar gelo com lava?"
NOTIF_LAB_CRAZY,"¿Ya probaste el laboratorio? ¡Está de locos!","Have you tried the lab yet? It's crazy!","Hai già probato el laboratorio? È pazzesco!","As-tu déjà essayé le laboratorio ? C'est fou !","Hast du das Labor schon ausprobiert? Es ist verrückt!","Você ya experimentou o laboratorio? É una loucura!"
NOTIF_MISS_YOU,"Tus materiales te extrañan. ¿Qué experimento tienes pensado?","Your materials miss you. What experiment do you have in mind?","I tuoi materiales ti mancano. Che esperimento hai in mente?","Tes matériaux te tu manquent. Quel expérience as-tu en tête ?","Deine Materialien vermissen dich. Welches Experiment hast du im Sinn?","Seus materiais sentem sua falta. Que experimento você tem em mente?"
NOTIF_FIRE_TORNADO,"¿Has intentado crear un tornado de fuego? ¡Entra ya!","Have you tried creating a fire tornado? Jump in now!","Hai provato a creare un tornado di fuoco? Entra ora!","As-tu essayé de créer une tornade de feu ? Entre maintenant !","Hast du versucht einen Feuertornado zu erschaffen? Schau jetzt rein!","Você ya tentou criar um tornado de fogo? Entre agora!"
NOTIF_NPC_WAR,"¿Estás listo para armar una guerra de NPCs?","Ready to start an NPC war?","Sei pronto a scatenare una guerra di NPC?","Es-tu prêt à déclencher une guerre de PNJ ?","Bist du bereit, einen NPC-Krieg anzuzetteln?","Pronto para começar uma guerra de NPCs?"
NOTIF_MUSIC,"¡También puedes componer música!","You can also compose music!","Puoi anche comporre musica!","Tu peux aussi composer de la musique !","Du kannst auch Musik komponieren!","Você también pode compor música!"
NOTIF_DISASTERS,"¿Qué tal si probamos unos desastres naturales?","How about trying some natural disasters?","Che ne dici di provare dei disastri naturali?","Et si on essayait des catastrophes naturelles ?","Wie wäre es mit ein paar Naturkatastrophen?","Que tal experimentar alguns desastres naturais?"
NOTIF_LAB_CREATION,"El laboratorio te deja crear elementos nunca vistos.","The lab lets you create never-before-seen elements.","Il laboratorio ti permette di creare elementi mai visti.","Le labo te permet de créer des éléments jamais vus.","Das Labor lässt dich nie zuvor gesehene Elemente erschaffen.","O laboratório permite criar elementos nunca antes vistos."
NOTIF_METAL_ELEC_TNT,"¿Has intentado mezclar metal, electricidad y TNT?","Have you tried mixing metal, electricity, and TNT?","Hai provato a mescolare metallo, elettricità e TNT?","As-tu essayé de mélanger le métal, l'électricité et le TNT ?","Hast du versucht, Metall, Elektrizität und TNT zu mischen?","Já tentou misturar metal, eletricidade e TNT?"
NOTIF_CEMENT_AIR,"El cemento fresco se endurece en el aire. ¡Pruébalo!","Fresh cement hardens in the air. Try it out!","Il cemento fresco si indurisce all'aria. Provalo!","Le ciment frais durcit à l'air. Essaie !","Frischer Zement härtet an der Luft aus. Probier's aus!","O cimento fresco endurece no ar. Experimente!"
NOTIF_ACID_NPC,"¿Qué pasará si le pones ácido a un NPC?","What happens if you put acid on an NPC?","Cosa succede se metti l'acido su un NPC?","Que se passe-t-il si tu mets de l'acide sur un PNJ ?","Was passiert, wenn du einem NPC Säure gibst?","O que acontece se você colocar ácido em un NPC?"
NOTIF_HEALER_WARRIOR,"¿Sabías que un guerrero puede ganar con un médico?","Did you know a warrior can win with a medic?","Sapevi che un guerriero può vincere con un medico?","Savais-tu qu'un guerrier peut gagner avec un médecin ?","Wusstest du, dass ein Krieger mit einem Sanitäter gewinnen kann?","Você sabia que um guerreiro pode vencer com um médico?"
NOTIF_MINER_PLAN,"¿Ya viste cuál es el plan maestro del minero?","Have you seen the miner's master plan yet?","Hai già visto il piano maestro del minatore?","As-tu déjà vu le plan maître du mineur ?","Hast du schon den Masterplan des Bergarbeiters gesehen?","Já viu qual é o plano mestre do minerador?"
NOTIF_STORM_LIGHTNING,"¿Y si ponemos una tormenta con rayos?","What if we add a lightning storm?","E se mettessimo una tempesta di fulmini?","Et si on ajoutait un orage ?","Was wäre, wenn wir ein Gewitter hinzufügen?","E se colocarmos uma tempestade com raios?"
NOTIF_PAINT_CUSTOM,"Puedes pintar el fondo y los elementos como quieras.","You can paint the background and elements as you like.","Puoi dipingere lo sfondo e gli elementi come preferisci.","Tu peux peindre le fond et les éléments comme tu veux.","Du kannst den Hintergrund und die Elemente nach Belieben bemalen.","Você pode pintar o fundo e os elementos como quiser."
NOTIF_VOLCANO_WAR,"Prueba armar una guerra con un volcán en medio.","Try starting a war with a volcano in the middle.","Prova a scatenare una guerra con un vulcano nel mezzo.","Essaie de faire la guerre avec un volcan au milieu.","Versuche, einen Krieg con un Vulkan in der Mitte anzuzetteln.","Tente armar uma guerra com um vulcão no meio."
NOTIF_PHONE_MELT,"¿Cuánto desastre crees que puede aguantar tu móvil?","How much disaster do you think your phone can handle?","Quanta distruzione pensi che possa sopportare il tuo telefono?","Combien de catastrophes ton téléphone peut-il supporter ?","Wie viel Katastrophe hält dein Handy wohl aus?","Quanto desastre você acha que seu celular aguenta?"
NOTIF_LAVA_TSUNAMI,"¿Y si hacemos un tsunami de lava?","What if we make a lava tsunami?","E se facessimo uno tsunami di lava?","Et si on faisait un tsunami de lave ?","Was wäre, wenn wir einen Lava-Tsunami machen?","E se fizermos um tsunami de lava?"
NOTIF_GUNPOWDER_TNT,"La pólvora es TNT con gravedad. ¡Pruébala!","Gunpowder is TNT with gravity. Try it!","La polvere da sparo è TNT con gravità. Provala!","La poudre à canon, c'est du TNT avec de la gravité. Essaie !","Schießpulver ist TNT mit Schwerkraft. Probier es aus!","A pólvora é TNT com gravidade. Experimente!"
NOTIF_ACID_TNT,"¿Ya probaste prender TNT con ácido? ¿Qué pasará?","Tried lighting TNT with acid? What will happen?","Hai provato ad accendere il TNT con l'acido? Cosa succederà?","As-tu essayé d'allumer du TNT avec de l'acide ? Que se passera-t-il ?","Hast du versucht, TNT mit Säure zu zünden? Was wird passieren?","Já tentou acender TNT com ácido? O que acontecerá?"
TUTORIAL_STEP_1,"Aquí tienes tus elementos. ¡Tócalos y dibuja en la pantalla para crear tu propio mundo!","Here are your elements. Touch and draw on the screen to create your own world!","Ecco i tuoi elementos. Tocca e disegna sullo schermo per creare il tuo mondo!","Voici vos éléments. Touchez et dessinez sur l'écran pour créer votre propre monde !","Hier sind deine Elemente. Berühre und zeichne auf dem Bildschirm, um deine eigene Welt zu erschaffen!","Aqui estão seus elementos. Toque e desenhe na tela para criar seu próprio mundo!"
